Code,Subdivision name,Subdivision category,Parent subdivision
AD-02,Canillo,parish,AD
AD-03,Encamp,parish,AD
AD-04,La Massana,parish,AD
AD-05,Ordino,parish,AD
AD-06,Sant Julià de Lòria,parish,AD
AD-07,Andorra la Vella,parish,AD
AD-08,Escaldes-Engordany,parish,AD
AE-AJ,Ajman,emirates,AE
AE-AZ,Abu Dhabi,emirates,AE
AE-DU,Dubai,emirates,AE
AE-FU,Fujairah,emirates,AE
AE-RK,Ras al-Khaimah,emirates,AE
AE-SH,Sharjah,emirates,AE
AE-UQ,Umm al-Quwain,emirates,AE
AF-BAL,Balkh,province,AF
AF-BAM,Bamyan,province,AF
AF-BDG,Badghis,province,AF
AF-BDS,Badakhshan,province,AF
AF-BGL,Baghlan,province,AF
AF-DAY,Daykundi,province,AF
AF-FRA,Farah,province,AF
AF-FYB,Faryab,province,AF
AF-GHA,Ghazni,province,AF
AF-GHO,Ghōr,province,AF
AF-HEL,Helmand,province,AF
AF-HER,Herat,province,AF
AF-JOW,Jowzjan,province,AF
AF-KAB,Kabul,province,AF
AF-KAN,Kandahar,province,AF
AF-KAP,Kapisa,province,AF
AF-KDZ,Kunduz,province,AF
AF-KHO,Khost,province,AF
AF-KNR,Kunar,province,AF
AF-LAG,Laghman,province,AF
AF-LOG,Logar,province,AF
AF-NAN,Nangarhar,province,AF
AF-NIM,Nimruz,province,AF
AF-NUR,Nuristan,province,AF
AF-PAN,Panjshir,province,AF
AF-PAR,Parwan,province,AF
AF-PIA,Paktia,province,AF
AF-PKA,Paktika,province,AF
AF-SAM,Samangan,province,AF
AF-SAR,Sar-e Pol,province,AF
AF-TAK,Takhar,province,AF
AF-URU,Urozgan,province,AF
AF-WAR,Maidan Wardak,province,AF
AF-ZAB,Zabul,province,AF
AG-03,Saint George,parish,AG
AG-04,Saint John,parish,AG
AG-05,Saint Mary,parish,AG
AG-06,Saint Paul,parish,AG
AG-07,Saint Peter,parish,AG
AG-08,Saint Philip,parish,AG
AG-10,Barbuda,dependency,AG
AG-11,Redonda,dependency,AG
AI,(No regions),,AI
AL-01,Berat,county,AL
AL-02,Durrës,county,AL
AL-03,Elbasan,county,AL
AL-04,Fier,county,AL
AL-05,Gjirokastër,county,AL
AL-06,Korçë,county,AL
AL-07,Kukës,county,AL
AL-08,Lezhë,county,AL
AL-09,Dibër,county,AL
AL-10,Shkodër,county,AL
AL-11,Tiranë,county,AL
AL-12,Vlorë,county,AL
AM-AG,Aragatsotn,province,AM
AM-AR,Ararat,province,AM
AM-AV,Armavir,province,AM
AM-ER,Yerevan,city,AM
AM-GR,Gegharkunik,province,AM
AM-KT,Kotayk,province,AM
AM-LO,Lori,province,AM
AM-SH,Shirak,province,AM
AM-SU,Syunik,province,AM
AM-TV,Tavush,province,AM
AM-VD,Vayots Dzor,province,AM
AO-BGO,Bengo,province,AO
AO-BGU,Benguela,province,AO
AO-BIE,Bié,province,AO
AO-CAB,Cabinda,province,AO
AO-CCU,Kuando Kubango,province,AO
AO-CNN,Cunene,province,AO
AO-CNO,Kwanza Norte,province,AO
AO-CUS,Kwanza Sul,province,AO
AO-HUA,Huambo,province,AO
AO-HUI,Huíla,province,AO
AO-LNO,Lunda Norte,province,AO
AO-LSU,Lunda Sul,province,AO
AO-LUA,Luanda,province,AO
AO-MAL,Malange,province,AO
AO-MOX,Moxico,province,AO
AO-NAM,Namibe,province,AO
AO-UIG,Uíge,province,AO
AO-ZAI,Zaire,province,AO
AQ,(No regions),,AQ
AR-A,Salta,province,AR
AR-B,Buenos Aires,province,AR
AR-C,Ciudad Autónoma de Buenos Aires,city,AR
AR-D,San Luis,province,AR
AR-E,Entre Ríos,province,AR
AR-F,La Rioja,province,AR
AR-G,Santiago del Estero,province,AR
AR-H,Chaco,province,AR
AR-J,San Juan,province,AR
AR-K,Catamarca,province,AR
AR-L,La Pampa,province,AR
AR-M,Mendoza,province,AR
AR-N,Misiones,province,AR
AR-P,Formosa,province,AR
AR-Q,Neuquén,province,AR
AR-R,Río Negro,province,AR
AR-S,Santa Fe,province,AR
AR-T,Tucumán,province,AR
AR-U,Chubut,province,AR
AR-V,Tierra del Fuego,province,AR
AR-W,Corrientes,province,AR
AR-X,Córdoba,province,AR
AR-Y,Jujuy,province,AR
AR-Z,Santa Cruz,province,AR
AS,(No regions),,AS
AT-1,Burgenland,state,AT
AT-2,Carinthia,state,AT
AT-3,Lower Austria,state,AT
AT-4,Upper Austria,state,AT
AT-5,Salzburg,state,AT
AT-6,Styria,state,AT
AT-7,Tyrol,state,AT
AT-8,Vorarlberg,state,AT
AT-9,Vienna,state,AT
AU-ACT,Australian Capital Territory,territory,AU
AU-NSW,New South Wales,state,AU
AU-NT,Northern Territory,territory,AU
AU-QLD,Queensland,state,AU
AU-SA,South Australia,state,AU
AU-TAS,Tasmania,state,AU
AU-VIC,Victoria,state,AU
AU-WA,Western Australia,state,AU
AW,(No regions),,AW
AX,(No regions),,AX
AZ,Main region (Azerbaijan),,AZ
AZ-BA,Baku,municipality,AZ
AZ-NX,Nakhchivan,autonomous republic,AZ
BA-BIH,Federation of Bosnia and Herzegovina,entity,BA
BA-BRC,Brčko District,district with special status,BA
BA-SRP,Republika Srpska,entity,BA
BB-01,Christ Church,parish,BB
BB-02,Saint Andrew,parish,BB
BB-03,Saint George,parish,BB
BB-04,Saint James,parish,BB
BB-05,Saint John,parish,BB
BB-06,Saint Joseph,parish,BB
BB-07,Saint Lucy,parish,BB
BB-08,Saint Michael,parish,BB
BB-09,Saint Peter,parish,BB
BB-10,Saint Philip,parish,BB
BB-11,Saint Thomas,parish,BB
BD-01,Bandarban,district,BD
BD-02,Barguna,district,BD
BD-03,Bogra,district,BD
BD-04,Brahmanbaria,district,BD
BD-05,Bagerhat,district,BD
BD-06,Barisal,district,BD
BD-07,Bhola,district,BD
BD-08,Comilla,district,BD
BD-09,Chandpur,district,BD
BD-10,Chittagong,district,BD
BD-11,Cox's Bazar,district,BD
BD-12,Chuadanga,district,BD
BD-13,Dhaka,district,BD
BD-14,Dinajpur,district,BD
BD-15,Faridpur,district,BD
BD-16,Feni,district,BD
BD-17,Gopalganj,district,BD
BD-18,Gazipur,district,BD
BD-19,Gaibandha,district,BD
BD-20,Habiganj,district,BD
BD-21,Jamalpur,district,BD
BD-22,Jessore,district,BD
BD-23,Jhenaidah,district,BD
BD-24,Joypurhat,district,BD
BD-25,Jhalakathi,district,BD
BD-26,Kishoreganj,district,BD
BD-27,Khulna,district,BD
BD-28,Kurigram,district,BD
BD-29,Khagrachhari,district,BD
BD-30,Kushtia,district,BD
BD-31,Lakshmipur,district,BD
BD-32,Lalmonirhat,district,BD
BD-33,Manikganj,district,BD
BD-34,Mymensingh,district,BD
BD-35,Munshiganj,district,BD
BD-36,Madaripur,district,BD
BD-37,Magura,district,BD
BD-38,Moulvibazar,district,BD
BD-39,Meherpur,district,BD
BD-40,Narayanganj,district,BD
BD-41,Netrakona,district,BD
BD-42,Narsingdi,district,BD
BD-43,Narail,district,BD
BD-44,Natore,district,BD
BD-45,Chapai Nawabganj,district,BD
BD-46,Nilphamari,district,BD
BD-47,Noakhali,district,BD
BD-48,Naogaon,district,BD
BD-49,Pabna,district,BD
BD-50,Pirojpur,district,BD
BD-51,Patuakhali,district,BD
BD-52,Panchagarh,district,BD
BD-53,Rajbari,district,BD
BD-54,Rajshahi,district,BD
BD-55,Rangpur,district,BD
BD-56,Rangamati,district,BD
BD-57,Sherpur,district,BD
BD-58,Satkhira,district,BD
BD-59,Sirajganj,district,BD
BD-60,Sylhet,district,BD
BD-61,Sunamganj,district,BD
BD-62,Shariatpur,district,BD
BD-63,Tangail,district,BD
BD-64,Thakurgaon,district,BD
BD-A,Barisal,division,BD
BD-B,Chittagong,division,BD
BD-C,Dhaka,division,BD
BD-D,Khulna,division,BD
BD-E,Rajshahi,division,BD
BD-F,Rangpur,division,BD
BD-G,Sylhet,division,BD
BD-H,Mymensingh,division,BD
BE-BRU,Brussels-Capital Region,region,BE
BE-VAN,Antwerpen,province,BE
BE-VBR,Vlaams-Brabant,province,BE
BE-VLG,Flemish Region,region,BE
BE-VLI,Limburg,province,BE
BE-VOV,Oost-Vlaanderen,province,BE
BE-VWV,West-Vlaanderen,province,BE
BE-WAL,Walloon Region,region,BE
BE-WBR,Brabant wallon,province,BE
BE-WHT,Hainaut,province,BE
BE-WLG,Liège,province,BE
BE-WLX,Luxembourg,province,BE
BE-WNA,Namur,province,BE
BF-01,Boucle du Mouhoun,region,BF
BF-02,Cascades,region,BF
BF-03,Centre,region,BF
BF-04,Centre-Est,region,BF
BF-05,Centre-Nord,region,BF
BF-06,Centre-Ouest,region,BF
BF-07,Centre-Sud,region,BF
BF-08,Est,region,BF
BF-09,Hauts-Bassins,region,BF
BF-10,Nord,region,BF
BF-11,Plateau-Central,region,BF
BF-12,Sahel,region,BF
BF-13,Sud-Ouest,region,BF
BF-BAL,Balé,province,BF
BF-BAM,Bam,province,BF
BF-BAN,Banwa,province,BF
BF-BAZ,Bazèga,province,BF
BF-BGR,Bougouriba,province,BF
BF-BLG,Boulgou,province,BF
BF-BLK,Boulkiemdé,province,BF
BF-COM,Comoé,province,BF
BF-GAN,Ganzourgou,province,BF
BF-GNA,Gnagna,province,BF
BF-GOU,Gourma,province,BF
BF-HOU,Houet,province,BF
BF-IOB,Ioba,province,BF
BF-KAD,Kadiogo,province,BF
BF-KEN,Kénédougou,province,BF
BF-KMD,Komondjari,province,BF
BF-KMP,Kompienga,province,BF
BF-KOP,Koulpélogo,province,BF
BF-KOS,Kossi,province,BF
BF-KOT,Kouritenga,province,BF
BF-KOW,Kourwéogo,province,BF
BF-LER,Léraba,province,BF
BF-LOR,Loroum,province,BF
BF-MOU,Mouhoun,province,BF
BF-NAM,Namentenga,province,BF
BF-NAO,Nahouri,province,BF
BF-NAY,Nayala,province,BF
BF-NOU,Noumbiel,province,BF
BF-OUB,Oubritenga,province,BF
BF-OUD,Oudalan,province,BF
BF-PAS,Passoré,province,BF
BF-PON,Poni,province,BF
BF-SEN,Séno,province,BF
BF-SIS,Sissili,province,BF
BF-SMT,Sanmatenga,province,BF
BF-SNG,Sanguié,province,BF
BF-SOM,Soum,province,BF
BF-SOR,Sourou,province,BF
BF-TAP,Tapoa,province,BF
BF-TUI,Tuy,province,BF
BF-YAG,Yagha,province,BF
BF-YAT,Yatenga,province,BF
BF-ZIR,Ziro,province,BF
BF-ZON,Zondoma,province,BF
BF-ZOU,Zoundwéogo,province,BF
BG-01,Blagoevgrad,region,BG
BG-02,Burgas,region,BG
BG-03,Varna,region,BG
BG-04,Veliko Tarnovo,region,BG
BG-05,Vidin,region,BG
BG-06,Vratsa,region,BG
BG-07,Gabrovo,region,BG
BG-08,Dobrich,region,BG
BG-09,Kardzhali,region,BG
BG-10,Kyustendil,region,BG
BG-11,Lovech,region,BG
BG-12,Montana,region,BG
BG-13,Pazardzhik,region,BG
BG-14,Pernik,region,BG
BG-15,Pleven,region,BG
BG-16,Plovdiv,region,BG
BG-17,Razgrad,region,BG
BG-18,Ruse,region,BG
BG-19,Silistra,region,BG
BG-20,Sliven,region,BG
BG-21,Smolyan,region,BG
BG-22,Sofia (stolitsa),region,BG
BG-23,Sofia,region,BG
BG-24,Stara Zagora,region,BG
BG-25,Targovishte,region,BG
BG-26,Haskovo,region,BG
BG-27,Shumen,region,BG
BG-28,Yambol,region,BG
BH-13,Al ‘Āşimah,governorate,BH
BH-14,Al Janūbīyah,governorate,BH
BH-15,Al Muḩarraq,governorate,BH
BH-17,Ash Shamālīyah,governorate,BH
BI-BB,Bubanza,province,BI
BI-BL,Bujumbura Rural,province,BI
BI-BM,Bujumbura Mairie,province,BI
BI-BR,Bururi,province,BI
BI-CA,Cankuzo,province,BI
BI-CI,Cibitoke,province,BI
BI-GI,Gitega,province,BI
BI-KI,Kirundo,province,BI
BI-KR,Karuzi,province,BI
BI-KY,Kayanza,province,BI
BI-MA,Makamba,province,BI
BI-MU,Muramvya,province,BI
BI-MW,Mwaro,province,BI
BI-MY,Muyinga,province,BI
BI-NG,Ngozi,province,BI
BI-RM,Rumonge,province,BI
BI-RT,Rutana,province,BI
BI-RY,Ruyigi,province,BI
BJ-AK,Atacora,department,BJ
BJ-AL,Alibori,department,BJ
BJ-AQ,Atlantique,department,BJ
BJ-BO,Borgou,department,BJ
BJ-CO,Collines,department,BJ
BJ-DO,Donga,department,BJ
BJ-KO,Couffo,department,BJ
BJ-LI,Littoral,department,BJ
BJ-MO,Mono,department,BJ
BJ-OU,Ouémé,department,BJ
BJ-PL,Plateau,department,BJ
BJ-ZO,Zou,department,BJ
BL,(No regions),,BL
BM,(No regions),,BM
BN-BE,Belait,district,BN
BN-BM,Brunei-Muara,district,BN
BN-TE,Temburong,district,BN
BN-TU,Tutong,district,BN
BO-B,El Beni,department,BO
BO-C,Cochabamba,department,BO
BO-H,Chuquisaca,department,BO
BO-L,La Paz,department,BO
BO-N,Pando,department,BO
BO-O,Oruro,department,BO
BO-P,Potosí,department,BO
BO-S,Santa Cruz,department,BO
BO-T,Tarija,department,BO
BQ-BO,Bonaire,special municipality,BQ
BQ-SA,Saba,special municipality,BQ
BQ-SE,Sint Eustatius,special municipality,BQ
BR-AC,Acre,state,BR
BR-AL,Alagoas,state,BR
BR-AM,Amazonas,state,BR
BR-AP,Amapá,state,BR
BR-BA,Bahia,state,BR
BR-CE,Ceará,state,BR
BR-DF,Distrito Federal,federal district,BR
BR-ES,Espírito Santo,state,BR
BR-GO,Goiás,state,BR
BR-MA,Maranhão,state,BR
BR-MG,Minas Gerais,state,BR
BR-MS,Mato Grosso do Sul,state,BR
BR-MT,Mato Grosso,state,BR
BR-PA,Pará,state,BR
BR-PB,Paraíba,state,BR
BR-PE,Pernambuco,state,BR
BR-PI,Piauí,state,BR
BR-PR,Paraná,state,BR
BR-RJ,Rio de Janeiro,state,BR
BR-RN,Rio Grande do Norte,state,BR
BR-RO,Rondônia,state,BR
BR-RR,Roraima,state,BR
BR-RS,Rio Grande do Sul,state,BR
BR-SC,Santa Catarina,state,BR
BR-SE,Sergipe,state,BR
BR-SP,São Paulo,state,BR
BR-TO,Tocantins,state,BR
BS-AK,Acklins,district,BS
BS-BI,Bimini,district,BS
BS-BP,Black Point,district,BS
BS-BY,Berry Islands,district,BS
BS-CE,Central Eleuthera,district,BS
BS-CI,Cat Island,district,BS
BS-CK,Crooked Island and Long Cay,district,BS
BS-CO,Central Abaco,district,BS
BS-CS,Central Andros,district,BS
BS-EG,East Grand Bahama,district,BS
BS-EX,Exuma,district,BS
BS-FP,City of Freeport,district,BS
BS-GC,Grand Cay,district,BS
BS-HI,Harbour Island,district,BS
BS-HT,Hope Town,district,BS
BS-IN,Inagua,district,BS
BS-LI,Long Island,district,BS
BS-MC,Mangrove Cay,district,BS
BS-MG,Mayaguana,district,BS
BS-MI,Moores Island,district,BS
BS-NE,North Eleuthera,district,BS
BS-NO,North Abaco,district,BS
BS-NS,North Andros,district,BS
BS-RC,Rum Cay,district,BS
BS-RI,Ragged Island,district,BS
BS-SA,South Andros,district,BS
BS-SE,South Eleuthera,district,BS
BS-SO,South Abaco,district,BS
BS-SS,San Salvador,district,BS
BS-SW,Spanish Wells,district,BS
BS-WG,West Grand Bahama,district,BS
BT-11,Paro,district,BT
BT-12,Chhukha,district,BT
BT-13,Haa,district,BT
BT-14,Samtse,district,BT
BT-15,Thimphu,district,BT
BT-21,Tsirang,district,BT
BT-22,Dagana,district,BT
BT-23,Punakha,district,BT
BT-24,Wangdue Phodrang,district,BT
BT-31,Sarpang,district,BT
BT-32,Trongsa,district,BT
BT-33,Bumthang,district,BT
BT-34,Zhemgang,district,BT
BT-41,Trashigang,district,BT
BT-42,Monggar,district,BT
BT-43,Pemagatshel,district,BT
BT-44,Lhuentse,district,BT
BT-45,Samdrup Jongkhar,district,BT
BT-GA,Gasa,district,BT
BT-TY,Trashi Yangtse,district,BT
BV,(No regions),,BV
BW-CE,Central,district,BW
BW-CH,Chobe,district,BW
BW-FR,Francistown,city,BW
BW-GA,Gaborone,city,BW
BW-GH,Ghanzi,district,BW
BW-JW,Jwaneng,town,BW
BW-KG,Kgalagadi,district,BW
BW-KL,Kgatleng,district,BW
BW-KW,Kweneng,district,BW
BW-LO,Lobatse,town,BW
BW-NE,North East,district,BW
BW-NW,North West,district,BW
BW-SE,South East,district,BW
BW-SO,Southern,district,BW
BW-SP,Selibe Phikwe,town,BW
BW-ST,Sowa Town,town,BW
BY-BR,Brest Region,oblast,BY
BY-HM,City of Minsk,city,BY
BY-HO,Gomel Region,oblast,BY
BY-HR,Grodno Region,oblast,BY
BY-MA,Mogilev Region,oblast,BY
BY-MI,Minsk Region,oblast,BY
BY-VI,Vitebsk Region,oblast,BY
BZ-BZ,Belize,district,BZ
BZ-CY,Cayo,district,BZ
BZ-CZL,Corozal,district,BZ
BZ-OW,Orange Walk,district,BZ
BZ-SC,Stann Creek,district,BZ
BZ-TOL,Toledo,district,BZ
CA-AB,Alberta,province,CA
CA-BC,British Columbia,province,CA
CA-MB,Manitoba,province,CA
CA-NB,New Brunswick,province,CA
CA-NL,Newfoundland and Labrador,province,CA
CA-NS,Nova Scotia,province,CA
CA-NT,Northwest Territories,territory,CA
CA-NU,Nunavut,territory,CA
CA-ON,Ontario,province,CA
CA-PE,Prince Edward Island,province,CA
CA-QC,Quebec,province,CA
CA-SK,Saskatchewan,province,CA
CA-YT,Yukon,territory,CA
CC,(No regions),,CC
CD-BC,Kongo Central,province,CD
CD-BU,Bas-Uele,province,CD
CD-EQ,Equator,province,CD
CD-HK,Haut-Katanga,province,CD
CD-HL,Haut-Lomami,province,CD
CD-HU,Haut-Uele,province,CD
CD-IT,Ituri,province,CD
CD-KC,Kasai Central,province,CD
CD-KE,Kasai-Oriental,province,CD
CD-KG,Kwango,province,CD
CD-KL,Kwilu,province,CD
CD-KN,Kinshasa,city,CD
CD-KS,Kasai,province,CD
CD-LO,Lomami,province,CD
CD-LU,Lualaba,province,CD
CD-MA,Maniema,province,CD
CD-MN,Mai-Ndombe,province,CD
CD-MO,Mongala,province,CD
CD-NK,North Kivu,province,CD
CD-NU,North Ubangi,province,CD
CD-SA,Sankuru,province,CD
CD-SK,South Kivu,province,CD
CD-SU,South Ubangi,province,CD
CD-TA,Tanganyika,province,CD
CD-TO,Tshopo,province,CD
CD-TU,Tshuapa,province,CD
CF-AC,Ouham,prefecture,CF
CF-BB,Bamingui-Bangoran,prefecture,CF
CF-BGF,Bangui,commune,CF
CF-BK,Basse-Kotto,prefecture,CF
CF-HK,Haute-Kotto,prefecture,CF
CF-HM,Haut-Mbomou,prefecture,CF
CF-HS,Haute-Sangha/Mambéré-Kadéï,prefecture,CF
CF-KB,Gribingui,economic prefecture,CF
CF-KG,Kémo-Gribingui,prefecture,CF
CF-LB,Lobaye,prefecture,CF
CF-MB,Mbomou,prefecture,CF
CF-MP,Ombella-Mpoko,prefecture,CF
CF-NM,Nana-Mambéré,prefecture,CF
CF-OP,Ouham-Pendé,prefecture,CF
CF-SE,Sangha,economic prefecture,CF
CF-UK,Ouaka,prefecture,CF
CF-VK,Vakaga,prefecture,CF
CG-11,Bouenza,department,CG
CG-12,Pool,department,CG
CG-13,Sangha,department,CG
CG-14,Plateaux,department,CG
CG-15,Cuvette-Ouest,department,CG
CG-16,Pointe-Noire,department,CG
CG-2,Lékoumou,department,CG
CG-5,Kouilou,department,CG
CG-7,Likouala,department,CG
CG-8,Cuvette,department,CG
CG-9,Niari,department,CG
CG-BZV,Brazzaville,department,CG
CH-AG,Aargau,canton,CH
CH-AI,Appenzell Innerrhoden,canton,CH
CH-AR,Appenzell Ausserrhoden,canton,CH
CH-BE,Bern,canton,CH
CH-BL,Basel-Landschaft,canton,CH
CH-BS,Basel-Stadt,canton,CH
CH-FR,Fribourg,canton,CH
CH-GE,Genève,canton,CH
CH-GL,Glarus,canton,CH
CH-GR,Grisons,canton,CH
CH-JU,Jura,canton,CH
CH-LU,Luzern,canton,CH
CH-NE,Neuchâtel,canton,CH
CH-NW,Nidwalden,canton,CH
CH-OW,Obwalden,canton,CH
CH-SG,Sankt Gallen,canton,CH
CH-SH,Schaffhausen,canton,CH
CH-SO,Solothurn,canton,CH
CH-SZ,Schwyz,canton,CH
CH-TG,Thurgau,canton,CH
CH-TI,Ticino,canton,CH
CH-UR,Uri,canton,CH
CH-VD,Vaud,canton,CH
CH-VS,Valais,canton,CH
CH-ZG,Zug,canton,CH
CH-ZH,Zürich,canton,CH
CI-AB,Abidjan,autonomous district,CI
CI-BS,Bas-Sassandra,district,CI
CI-CM,Comoé,district,CI
CI-DN,Denguélé,district,CI
CI-GD,Gôh-Djiboua,district,CI
CI-LC,Lacs,district,CI
CI-LG,Lagunes,district,CI
CI-MG,Montagnes,district,CI
CI-SM,Sassandra-Marahoué,district,CI
CI-SV,Savanes,district,CI
CI-VB,Vallée du Bandama,district,CI
CI-WR,Woroba,district,CI
CI-YM,Yamoussoukro,autonomous district,CI
CI-ZZ,Zanzan,district,CI
CK,(No regions),,CK
CL-AI,Aisén del General Carlos Ibañez del Campo,region,CL
CL-AN,Antofagasta,region,CL
CL-AP,Arica y Parinacota,region,CL
CL-AR,La Araucanía,region,CL
CL-AT,Atacama,region,CL
CL-BI,Biobío,region,CL
CL-CO,Coquimbo,region,CL
CL-LI,Libertador General Bernardo O'Higgins,region,CL
CL-LL,Los Lagos,region,CL
CL-LR,Los Ríos,region,CL
CL-MA,Magallanes,region,CL
CL-ML,Maule,region,CL
CL-RM,Región Metropolitana de Santiago,region,CL
CL-TA,Tarapacá,region,CL
CL-VS,Valparaíso,region,CL
CM-AD,Adamaoua,region,CM
CM-CE,Centre,region,CM
CM-EN,Far North,region,CM
CM-ES,East,region,CM
CM-LT,Littoral,region,CM
CM-NO,North,region,CM
CM-NW,North-West,region,CM
CM-OU,West,region,CM
CM-SU,South,region,CM
CM-SW,South-West,region,CM
CN-AH,Anhui Sheng,province,CN
CN-BJ,Beijing Shi,municipality,CN
CN-CQ,Chongqing Shi,municipality,CN
CN-FJ,Fujian Sheng,province,CN
CN-GD,Guangdong Sheng,province,CN
CN-GS,Gansu Sheng,province,CN
CN-GX,Guangxi Zhuangzu Zizhiqu,autonomous region,CN
CN-GZ,Guizhou Sheng,province,CN
CN-HA,Henan Sheng,province,CN
CN-HB,Hubei Sheng,province,CN
CN-HE,Hebei Sheng,province,CN
CN-HI,Hainan Sheng,province,CN
CN-HK,Hong Kong SAR (en),special administrative region,CN
CN-HL,Heilongjiang Sheng,province,CN
CN-HN,Hunan Sheng,province,CN
CN-JL,Jilin Sheng,province,CN
CN-JS,Jiangsu Sheng,province,CN
CN-JX,Jiangxi Sheng,province,CN
CN-LN,Liaoning Sheng,province,CN
CN-MO,Macao SAR (en),special administrative region,CN
CN-NM,Nei Mongol Zizhiqu,autonomous region,CN
CN-NX,Ningxia Huizu Zizhiqu,autonomous region,CN
CN-QH,Qinghai Sheng,province,CN
CN-SC,Sichuan Sheng,province,CN
CN-SD,Shandong Sheng,province,CN
CN-SH,Shanghai Shi,municipality,CN
CN-SN,Shaanxi Sheng,province,CN
CN-SX,Shanxi Sheng,province,CN
CN-TJ,Tianjin Shi,municipality,CN
CN-TW,Taiwan Sheng,province,CN
CN-XJ,Xinjiang Uygur Zizhiqu,autonomous region,CN
CN-XZ,Xizang Zizhiqu,autonomous region,CN
CN-YN,Yunnan Sheng,province,CN
CN-ZJ,Zhejiang Sheng,province,CN
CO-AMA,Amazonas,department,CO
CO-ANT,Antioquia,department,CO
CO-ARA,Arauca,department,CO
CO-ATL,Atlántico,department,CO
CO-BOL,Bolívar,department,CO
CO-BOY,Boyacá,department,CO
CO-CAL,Caldas,department,CO
CO-CAQ,Caquetá,department,CO
CO-CAS,Casanare,department,CO
CO-CAU,Cauca,department,CO
CO-CES,Cesar,department,CO
CO-CHO,Chocó,department,CO
CO-COR,Córdoba,department,CO
CO-CUN,Cundinamarca,department,CO
CO-DC,Distrito Capital de Bogotá,capital district,CO
CO-GUA,Guainía,department,CO
CO-GUV,Guaviare,department,CO
CO-HUI,Huila,department,CO
CO-LAG,La Guajira,department,CO
CO-MAG,Magdalena,department,CO
CO-MET,Meta,department,CO
CO-NAR,Nariño,department,CO
CO-NSA,Norte de Santander,department,CO
CO-PUT,Putumayo,department,CO
CO-QUI,Quindío,department,CO
CO-RIS,Risaralda,department,CO
CO-SAN,Santander,department,CO
CO-SAP,"San Andrés, Providencia y Santa Catalina",department,CO
CO-SUC,Sucre,department,CO
CO-TOL,Tolima,department,CO
CO-VAC,Valle del Cauca,department,CO
CO-VAU,Vaupés,department,CO
CO-VID,Vichada,department,CO
CR-A,Alajuela,province,CR
CR-C,Cartago,province,CR
CR-G,Guanacaste,province,CR
CR-H,Heredia,province,CR
CR-L,Limón,province,CR
CR-P,Puntarenas,province,CR
CR-SJ,San José,province,CR
CU-01,Pinar del Río,province,CU
CU-03,La Habana,province,CU
CU-04,Matanzas,province,CU
CU-05,Villa Clara,province,CU
CU-06,Cienfuegos,province,CU
CU-07,Sancti Spíritus,province,CU
CU-08,Ciego de Ávila,province,CU
CU-09,Camagüey,province,CU
CU-10,Las Tunas,province,CU
CU-11,Holguín,province,CU
CU-12,Granma,province,CU
CU-13,Santiago de Cuba,province,CU
CU-14,Guantánamo,province,CU
CU-15,Artemisa,province,CU
CU-16,Mayabeque,province,CU
CU-99,Isla de la Juventud,special municipality,CU
CV-BR,Brava,municipality,CV
CV-BV,Boa Vista,municipality,CV
CV-CA,Santa Catarina,municipality,CV
CV-CF,Santa Catarina do Fogo,municipality,CV
CV-CR,Santa Cruz,municipality,CV
CV-MA,Maio,municipality,CV
CV-MO,Mosteiros,municipality,CV
CV-PA,Paul,municipality,CV
CV-PN,Porto Novo,municipality,CV
CV-PR,Praia,municipality,CV
CV-RB,Ribeira Brava,municipality,CV
CV-RG,Ribeira Grande,municipality,CV
CV-RS,Ribeira Grande de Santiago,municipality,CV
CV-SD,São Domingos,municipality,CV
CV-SF,São Filipe,municipality,CV
CV-SL,Sal,municipality,CV
CV-SM,São Miguel,municipality,CV
CV-SO,São Lourenço dos Órgãos,municipality,CV
CV-SS,São Salvador do Mundo,municipality,CV
CV-SV,São Vicente,municipality,CV
CV-TA,Tarrafal,municipality,CV
CV-TS,Tarrafal de São Nicolau,municipality,CV
CW,(No regions),,CW
CX,(No regions),,CX
CY-01,Nicosia,district,CY
CY-02,Limassol,district,CY
CY-03,Larnaca,district,CY
CY-04,Famagusta,district,CY
CY-05,Paphos,district,CY
CY-06,Kyrenia,district,CY
CZ-JC,South Bohemia,region,CZ
CZ-JM,South Moravia,region,CZ
CZ-KA,Karlovy Vary,region,CZ
CZ-KR,Hradec Králové,region,CZ
CZ-LI,Liberec,region,CZ
CZ-MO,Moravia-Silesia,region,CZ
CZ-OL,Olomouc,region,CZ
CZ-PA,Pardubice,region,CZ
CZ-PL,Plzeň,region,CZ
CZ-PR,Prague,capital city,CZ
CZ-ST,Central Bohemia,region,CZ
CZ-US,Ústí nad Labem,region,CZ
CZ-VY,Vysočina,region,CZ
CZ-ZL,Zlín,region,CZ
DE-BB,Brandenburg,state,DE
DE-BE,Berlin,state,DE
DE-BW,Baden-Württemberg,state,DE
DE-BY,Bavaria,state,DE
DE-HB,Bremen,state,DE
DE-HE,Hesse,state,DE
DE-HH,Hamburg,state,DE
DE-MV,Mecklenburg-Western Pomerania,state,DE
DE-NI,Lower Saxony,state,DE
DE-NW,North Rhine-Westphalia,state,DE
DE-RP,Rhineland-Palatinate,state,DE
DE-SH,Schleswig-Holstein,state,DE
DE-SL,Saarland,state,DE
DE-SN,Saxony,state,DE
DE-ST,Saxony-Anhalt,state,DE
DE-TH,Thuringia,state,DE
